HbkDeviceType_SystemLog,5083,Object
HbkDeviceType_SystemStatusMonitor,5084,Object
HBKAnalogComponentType_InputChannels_InputChannel,5085,Object
SystemStatusMonitorType_RealTimeLoad,5086,Object
HBKAnalogComponentType_InputChannels_InputChannel_Adjustment,5087,Object
HBKAnalogComponentType_InputChannels_InputChannel_Scaler,5088,Object
HBKAnalogComponentType_InputChannels_InputChannel_Scaler_UnitConversion,5089,Object
HBKAnalogComponentType_InputChannels_InputChannel_SensorMetaData,5090,Object
HBKAnalogComponentType_InputChannels_InputChannel_SignalConditioner,5091,Object
HBKAnalogComponentType_OutputChannels_OutputChannel,5092,Object
HbkAnalogOutputChannel_Adjustment_HPFilter,5093,Object
HBKAnalogComponentType_OutputChannels_OutputChannel_Adjustment,5094,Object
HBKAnalogComponentType_OutputChannels_OutputChannel_SignalConditioner,5095,Object
PtSensorStructure_Encoding_DefaultBinary,5096,Object
HBKAnalogComponentType_InputChannels_InputChannel_Sig,5097,Object
HBKAnalogComponentType_InputChannels_InputChannel_Sig_Signal,5098,Object
HBKAnalogComponentType_InputChannels_InputChannel_Sig_Signal_LowPassFilterSettings,5099,Object
FanControlType_Setup_EventLimits,5100,Object
FanControlType_Setup_Temperature,5101,Object
FanControlType_Setup_Temperature_SetPoints,5102,Object
FanComponentType_Control_Setup_EventLimits,5103,Object
FanComponentType_Control_Setup_Temperature,5104,Object
CalibrationParametersType_CalibrationDevice,5105,Object
HbkDeviceType_CalibrationParameters_CalibrationDevice,5106,Object
FanComponentType_Control_Setup_Temperature_SetPoints,5107,Object
CalibrationSetType_CalibrationResults,5108,Object
CalibrationParametersType_CalibrationSets_CalibrationSet,5109,Object
DeviationStructure_Encoding_DefaultBinary,5110,Object
CalibrationParametersType_AvailableCalibrationCertificates,5111,Object
CalibrationParametersType_CalibrationSets,5112,Object
HbkDeviceType_CalibrationParameters_CalibrationSets,5113,Object
CalibrationParametersType_AvailableCalibrationCertificates_File,5114,Object
CalibrationParametersType_CalibrationSets_CalibrationSet_CalibrationResults,5115,Object
DeviationStructure_Encoding_DefaultXml,5116,Object
CalibrationMeasuredValueStructure_Encoding_DefaultBinary,5117,Object
CalibrationMeasuredValueStructure_Encoding_DefaultXml,5118,Object
CalibrationMeasuredValueStructure_Encoding_DefaultJson,5119,Object
DeviationStructure_Encoding_DefaultJson,5120,Object
CalibrationSetType_CalibrationResults_CalibrationResult,5121,Object
